N-500,N-800,N-1000,N-1200
0.842422219,0.84213782,0.834068423,0.835343484
0.840848308,0.840373816,0.831442356,0.833351854
0.836463247,0.836430958,0.827385058,0.829464136
0.83026448,0.830563663,0.821586852,0.823699245
0.822530305,0.822941387,0.814097653,0.81605748
0.814492173,0.814543646,0.806113269,0.807876757
0.806985273,0.807000326,0.798544354,0.800490077
0.803059659,0.803014965,0.794835706,0.796561605
0.797459983,0.797483141,0.789339209,0.791244537
0.790662409,0.790594143,0.782620852,0.784558425
0.788177931,0.78820464,0.780424758,0.782311039
0.78920033,0.789305825,0.781891117,0.78360566
0.787312801,0.787517874,0.779597993,0.781690579
0.781850246,0.782628312,0.774459673,0.776792516
0.774920774,0.775366665,0.767351927,0.769752161
0.768683511,0.769075294,0.761142814,0.763577358
0.761505596,0.761941611,0.754197885,0.756528082
0.764401052,0.765639721,0.757915823,0.760266361
0.762266693,0.763626189,0.755814817,0.758354491
0.768356125,0.770348625,0.761315786,0.764621794
0.769228661,0.77045039,0.762495577,0.766001951
0.762307493,0.763686986,0.756104141,0.759456903
0.78916288,0.78887504,0.781716457,0.783895363
0.799140018,0.799769452,0.791727019,0.794201013
0.803406436,0.804302833,0.795795035,0.7973624
0.802309325,0.801831878,0.793923223,0.795866853
0.798842921,0.798811441,0.791053356,0.793147302
0.795801138,0.79509838,0.787968077,0.790080797
0.814297219,0.81501424,0.809514484,0.810536154
0.799492506,0.799719889,0.795716353,0.798478089
0.798869353,0.798660591,0.795365633,0.797463567
0.796220571,0.796375596,0.793127241,0.795173944
0.81554163,0.818810953,0.814709735,0.816910607
0.789645401,0.792545853,0.791477618,0.796458726
0.794339195,0.796386036,0.79473168,0.796015839
0.768417427,0.764706663,0.760895132,0.762636267
0.762078786,0.751874092,0.753658697,0.752935907
0.764746317,0.755144346,0.756647819,0.756616925
0.757905829,0.747727074,0.750573274,0.752428065
0.752204133,0.742378984,0.744118839,0.746945524
0.749520474,0.742466365,0.74483634,0.74636614
0.735716864,0.731178112,0.73281654,0.736595643
0.730885075,0.727503323,0.730608218,0.7336385
0.735271644,0.731389434,0.735139975,0.738244748
0.729202883,0.723430293,0.730088325,0.731869257
0.723328894,0.719364375,0.724794332,0.727853993
0.726134844,0.722613134,0.729456509,0.728215514
0.715114653,0.715550359,0.721693541,0.721025244
0.711491403,0.710137578,0.719362807,0.717943882
0.718733768,0.716325583,0.724102398,0.724666382
0.727228307,0.729751098,0.73799247,0.734728218
0.715400473,0.718683876,0.729771749,0.724881097
0.706331616,0.711696417,0.722727847,0.716711002
0.706447162,0.7116124,0.723446019,0.717319683
0.709192025,0.714610753,0.725785291,0.719437178
0.706677752,0.712471875,0.723828366,0.717517305
0.705577088,0.711400182,0.722905799,0.716660525
0.702627662,0.70717641,0.719688546,0.713763811
0.716041324,0.723285709,0.736222712,0.730642701
0.727078572,0.731529077,0.749125318,0.74166339
0.729049188,0.733304104,0.750991834,0.743035697
0.727124237,0.732018734,0.749158844,0.743477798
0.748505519,0.752704924,0.773944507,0.765460281
0.742795415,0.750461292,0.772374208,0.763998725
0.756978719,0.777148575,0.800838907,0.787877072
0.750059617,0.769409191,0.796345672,0.787540388
0.750982228,0.764769417,0.797818848,0.786740668
0.760224771,0.771423806,0.805917531,0.793990072
0.76156829,0.771421977,0.807608164,0.794761658
0.760081756,0.770267893,0.805592542,0.792711744
0.757743951,0.766167452,0.801023014,0.790116197
0.760819532,0.770733391,0.80449862,0.793997644
0.760341489,0.769427372,0.803495812,0.792966896
0.761891776,0.770540202,0.804541781,0.794255462
0.770283973,0.780615421,0.813731588,0.80235325
0.750435837,0.759707791,0.796926866,0.787442543
0.740251039,0.749102753,0.787197341,0.778014726
0.73980884,0.748134778,0.786248227,0.777026958
0.738586204,0.745972072,0.784592428,0.77527615
0.736189649,0.74381789,0.782005121,0.772732898
0.732822035,0.739669536,0.777720859,0.768912324
0.738239853,0.746649095,0.784415427,0.773784951
0.736843612,0.744456915,0.781901897,0.770358433
0.736743212,0.746078056,0.781468304,0.770677023
0.738679247,0.748960266,0.782787404,0.771864276
0.735373851,0.74534872,0.778171069,0.767462308
0.748201082,0.757783636,0.790850732,0.780156725
0.752984775,0.761598264,0.796280815,0.784115247
0.767482359,0.777903668,0.811954966,0.802388439
0.762556611,0.773466056,0.80810161,0.800790134
0.761400919,0.771829447,0.806542538,0.799240961
0.765924854,0.777079353,0.81095832,0.803976251
0.768549164,0.778573886,0.812319386,0.806045775
0.764882901,0.775184045,0.808548026,0.802406843
0.760084629,0.770149847,0.802985863,0.79704663
0.758330967,0.767807983,0.800401777,0.795188617
0.75560512,0.764913889,0.797571275,0.792505219
0.758451755,0.767526711,0.799797896,0.795110373
0.755819928,0.765867146,0.798012345,0.79312007
0.759241852,0.768384202,0.800487626,0.795440326
0.760266401,0.769490794,0.800035746,0.795785292
0.753863756,0.762018146,0.792200839,0.788802154
0.749631937,0.75725059,0.787125087,0.783956688
0.747744409,0.754815809,0.784359231,0.781324519
0.74374658,0.750663246,0.78044389,0.777234957
0.738086667,0.745151911,0.774482083,0.771437079
0.733874755,0.741007376,0.769971207,0.767189513
0.728203779,0.735469062,0.764089892,0.761817654
0.731330457,0.738570484,0.766492457,0.765048686
0.729759887,0.736559055,0.764470887,0.763121125
0.729234904,0.735822808,0.763947671,0.762601283
0.73375118,0.741221776,0.768164802,0.767607546
0.740946019,0.745467612,0.771633006,0.77430059
0.736974361,0.741641836,0.767111447,0.769657277
0.735552454,0.73995726,0.765044174,0.767660641
0.734702628,0.739199493,0.764153802,0.766686756
