N-500,N-800,N-1000,N-1200
0.49484272,0.48299214,0.479794054,0.486976944
0.494650824,0.482205571,0.479661604,0.486341699
0.493989318,0.482422839,0.478760887,0.486364005
0.493590723,0.48264127,0.478363583,0.486284744
0.493316516,0.48097873,0.477306667,0.484567938
0.491797246,0.479537696,0.475745232,0.482911619
0.490338003,0.477795109,0.474152222,0.481528471
0.492418217,0.482021755,0.477682581,0.484772587
0.491541193,0.481581696,0.476904102,0.484075342
0.491160397,0.480006474,0.475810437,0.482386925
0.490599107,0.479048731,0.474545372,0.48120164
0.489017994,0.477319105,0.473246286,0.479580116
0.487473596,0.475647699,0.471975274,0.47811792
0.491812274,0.479940288,0.47419708,0.482277206
0.494792214,0.481365758,0.476129832,0.484837866
0.49477391,0.481361831,0.476360616,0.48519131
0.495475544,0.481610491,0.476684996,0.485986077
0.492558843,0.47934842,0.474759801,0.483196853
0.490827591,0.477930881,0.473422033,0.481499199
0.492126232,0.478706299,0.474864586,0.481501224
0.497868365,0.483800394,0.477407212,0.487358701
0.495545525,0.481888415,0.476348942,0.486090011
0.495780011,0.48187638,0.476850657,0.487014241
0.495481825,0.481494292,0.476102938,0.486008031
0.493523683,0.480090341,0.474803617,0.484658431
0.4975777,0.481072871,0.476550389,0.485035406
0.500767875,0.48314772,0.479168629,0.486065153
0.498209577,0.480987449,0.476568393,0.484014263
0.496503818,0.479559167,0.474443115,0.483845309
0.497661137,0.4805914,0.474133482,0.486031452
0.496045664,0.479279262,0.472866562,0.483487625
0.497784364,0.480886393,0.473766876,0.483853747
0.495735065,0.479065586,0.471697586,0.48201071
0.498231045,0.480426595,0.472764866,0.483184592
0.497166575,0.479135586,0.471702036,0.481915899
0.495718179,0.477627616,0.469575878,0.480851169
0.495868623,0.479370247,0.472674907,0.482516344
0.495463154,0.477445969,0.471670291,0.481893183
0.4939957,0.47577046,0.47018055,0.480419492
0.49567124,0.476810413,0.472151042,0.482322427
0.493939046,0.475165244,0.469565182,0.480338679
0.493108332,0.474356667,0.469529719,0.479363483
0.491669446,0.472844202,0.467998109,0.477746123
0.492261417,0.476714613,0.469887248,0.480161624
0.491085471,0.474857838,0.468265044,0.478406967
0.492991627,0.47450123,0.468617898,0.478454528
0.491101146,0.473129429,0.466870065,0.476911458
0.492396123,0.473001861,0.467782029,0.477178723
0.490730651,0.471080364,0.466357585,0.475539557
0.51638496,0.492083519,0.489869747,0.497013949
0.520131281,0.495466263,0.49345105,0.500256678
0.518795584,0.494163928,0.492094295,0.498861149
0.522743764,0.49845468,0.49489875,0.502615253
0.521981534,0.497939626,0.494352374,0.501912975
0.522407161,0.49827191,0.494938146,0.502413223
0.520812782,0.496785247,0.493574625,0.50084271
0.521327066,0.497805375,0.495434246,0.501982244
0.521304804,0.497896504,0.495496353,0.50176847
0.519411526,0.495565595,0.493265685,0.499928683
0.522697765,0.499880014,0.497545512,0.502992444
0.52059471,0.497972565,0.494864428,0.501160422
0.520292452,0.497140483,0.493132212,0.500915029
0.518596335,0.495440283,0.491726669,0.499252158
0.519523133,0.497022031,0.491903744,0.500390715
0.521013044,0.499387164,0.49222991,0.502432625
0.519569099,0.498057481,0.490927046,0.500990883
0.517820194,0.496962276,0.48976893,0.499030617
0.517191525,0.497217438,0.490114162,0.49878286
0.519137815,0.498815113,0.489745109,0.500006178
0.517017992,0.497060888,0.488280925,0.498376166
0.515257939,0.49531617,0.486847804,0.496804834
0.52277473,0.503932142,0.492518328,0.50401523
0.520742922,0.501149404,0.49053111,0.501866017
0.523717823,0.504858582,0.49453611,0.506839269
0.523559899,0.50613833,0.495429133,0.508097073
0.523407579,0.507142326,0.496270121,0.508820234
0.52552172,0.506281917,0.494484629,0.507595394
0.523721082,0.504847013,0.493301173,0.506191394
0.522266419,0.503369588,0.491918309,0.504776356
0.522186591,0.502903683,0.490820079,0.503666056
0.522928642,0.503049816,0.490621804,0.503632348
0.520882598,0.501202073,0.48902744,0.501781925
0.519307936,0.500756083,0.48912757,0.500727121
0.520756426,0.501166454,0.488818054,0.502579995
0.526614068,0.506349819,0.493591475,0.508959562
0.526043231,0.505638009,0.492807816,0.508319478
0.52477936,0.504252183,0.491514482,0.506946751
0.522745607,0.50254857,0.489674174,0.505171781
0.52013149,0.501020874,0.488189223,0.503461376
0.519121603,0.499546809,0.486910267,0.50237008
0.517708891,0.498100184,0.485493834,0.500957881
0.516241262,0.496732988,0.484086391,0.499624022
0.514712621,0.495723778,0.482572316,0.498516414
0.514186387,0.494479948,0.482281374,0.497919477
0.513358806,0.493212315,0.481564849,0.496961208
0.513335487,0.493084316,0.481477426,0.49696126
0.514203758,0.4935843,0.482397285,0.497860788
0.513003716,0.492297615,0.481238195,0.496763577
0.512997566,0.491960865,0.480942721,0.496190667
0.511157502,0.490283343,0.479112294,0.494685607
