N=1000,N=1200
1.253077878,1.283882598
1.252373572,1.282262798
1.251264566,1.280697534
1.241575152,1.270669557
1.22689155,1.256170053
1.212629697,1.241867613
1.2127835,1.241230312
1.212819707,1.241373675
1.21813212,1.24664661
1.221365853,1.248924013
1.208240406,1.236132282
1.198339545,1.226771374
1.212911487,1.241613304
1.227477759,1.256397003
1.222195576,1.250762761
1.216716256,1.244054666
1.209309929,1.2356697
1.222185326,1.248641021
1.212821872,1.239035218
1.19622333,1.223158481
1.194446452,1.219327019
1.180578313,1.205438543
1.179002038,1.202865636
1.180251521,1.203458374
1.166297473,1.18970515
1.15454594,1.177303941
1.137754706,1.160822238
1.132951189,1.155761937
1.131501205,1.15397948
1.121674408,1.143478069
1.152826755,1.174243139
1.13662853,1.158610117
1.122349959,1.144338386
1.10908753,1.130975747
1.092457472,1.114704408
1.077732638,1.100023036
1.060329166,1.082857627
1.05888625,1.079725546
1.058440628,1.078427576
1.063442009,1.083086496
1.045391017,1.06504917
1.038312984,1.05660725
1.025976536,1.044056885
1.017038791,1.034391775
1.025145772,1.042677763
1.010222276,1.027223498
0.993920845,1.011068826
0.977396821,0.994640418
0.964762486,0.982043061
0.975671567,0.99261506
0.962448926,0.979385285
0.944033324,0.961145226
0.926766198,0.944068184
0.937570535,0.955291281
0.921970793,0.938930036
0.927104033,0.942953072
0.907028901,0.923082094
0.918584786,0.935118771
0.949943581,0.966046328
0.969668416,0.986563638
1.009454111,1.025362688
1.029140078,1.041959263
1.017937454,1.030127265
1.043256041,1.054975313
1.041572138,1.052137462
1.085379712,1.094864601
1.11755101,1.129298273
1.103397093,1.114485208
1.110521238,1.120170544
1.095769113,1.105068957
1.109086535,1.115657861
1.111369038,1.116780195
1.096825695,1.101702176
1.100966379,1.106218177
1.10492867,1.111224615
1.088179897,1.094498635
1.073967233,1.0795562
1.076458236,1.081455353
1.081878868,1.087049121
1.102943803,1.109034944
1.087230838,1.092812209
1.07017078,1.07570739
1.061020796,1.065948223
1.060088613,1.063905539
1.044912016,1.048441696
1.049467589,1.05233485
1.031476243,1.034710773
1.023861696,1.026377963
1.007213624,1.009736271
0.999823528,1.002130244
1.070308296,1.083526154
1.059211328,1.072008547
1.086831704,1.096092295
1.083598845,1.091824808
1.093346626,1.100955146
1.077564575,1.085053867
1.065044965,1.07186332
1.055645481,1.062574893
