N-500,N-800,N-1000,N-1200
0.289741441,0.268828715,0.284829867,0.29488849
0.294273264,0.273492471,0.288385432,0.298537533
0.289835998,0.270804766,0.284250841,0.29536438
0.289522754,0.270765414,0.284252355,0.295659381
0.288870395,0.270163208,0.283900316,0.295373045
0.291224987,0.272579435,0.285936677,0.296896444
0.282373644,0.264163058,0.275605485,0.286837321
0.292092502,0.271512799,0.284209813,0.296318397
0.288143763,0.268358955,0.279546213,0.292584179
0.287913258,0.26939264,0.278013901,0.292993601
0.290853341,0.270395634,0.280367667,0.295495545
0.295271949,0.274348364,0.284111071,0.299863084
0.288741741,0.270902698,0.278779138,0.296130605
0.288819643,0.272273347,0.279466689,0.296787915
0.283963921,0.267201817,0.273047113,0.29057722
0.285319487,0.267367575,0.272433522,0.289870442
0.285381657,0.266483117,0.272594977,0.289402993
0.286033884,0.265628506,0.272735467,0.289064178
0.283244784,0.264219549,0.269497978,0.285979077
0.288725674,0.270735659,0.276440848,0.293021007
0.293077908,0.273852067,0.279486606,0.296916618
0.288513736,0.270737943,0.276685322,0.294307183
0.289107626,0.272671884,0.279025385,0.295829195
0.285487655,0.268688832,0.276031757,0.292633407
0.286790888,0.270147037,0.278254774,0.294178418
0.291709127,0.275166952,0.28349041,0.298825162
0.280498898,0.266903977,0.275832608,0.289060743
0.280977861,0.267629108,0.277133945,0.289399034
0.276279851,0.263712311,0.273454214,0.287677297
0.279644226,0.269962742,0.278325891,0.294741765
0.26443258,0.260162456,0.263907249,0.281508324
0.268043631,0.262978455,0.26787351,0.285205545
0.277696031,0.27358578,0.278259776,0.294990313
0.26406758,0.260469805,0.265870163,0.282042306
0.268667168,0.264780431,0.268038195,0.286197756
0.276540676,0.274224392,0.277772027,0.297649703
0.2830443,0.279673174,0.282744761,0.302852428
0.279619084,0.277671425,0.279420488,0.300926984
0.28089207,0.276682451,0.280369968,0.299535386
0.284230525,0.283053205,0.283786287,0.303562472
0.274187783,0.271282992,0.274359754,0.294261122
0.276306613,0.273948699,0.277365397,0.298660158
0.283640262,0.281218888,0.284701267,0.306781155
0.280823242,0.278482259,0.281603338,0.304801701
0.279957744,0.278387118,0.280995157,0.304247883
0.281236574,0.278987514,0.281787516,0.304618326
0.277903227,0.277717929,0.277965859,0.30012889
0.275545485,0.275396459,0.275753142,0.297748319
0.273743421,0.273437079,0.273592034,0.295441521
0.277604428,0.275761996,0.278779452,0.298781422
0.282468469,0.283395938,0.285779017,0.307310857
0.290901195,0.290836901,0.294548941,0.317244747
0.298703326,0.298626106,0.306314666,0.327255477
0.30373045,0.303632348,0.311923043,0.33289728
0.309921184,0.309950556,0.317942998,0.338226918
0.318136258,0.315121268,0.325388294,0.347156874
0.320929544,0.317844908,0.32894688,0.350360575
0.318759935,0.31546916,0.327899419,0.348383497
0.318343752,0.31565477,0.328642309,0.348432037
0.322651354,0.317558842,0.330113189,0.350670039
0.329698704,0.325124105,0.336718683,0.358581567
0.336834136,0.333197258,0.345465895,0.368229074
0.346973515,0.343614332,0.35740675,0.379485523
0.340779336,0.337514487,0.349938233,0.373265338
0.341323708,0.337711467,0.349888918,0.373707296
0.338447467,0.336445775,0.346567389,0.371013487
0.332060056,0.330100098,0.340171427,0.363709064
0.33293907,0.332174393,0.344010861,0.368994624
0.303109953,0.308245443,0.320486335,0.341571998
0.290029906,0.294566996,0.306791688,0.32646768
0.29094239,0.296042552,0.307861232,0.328537913
0.287496569,0.294051529,0.3057532,0.325349871
0.28917845,0.295797635,0.307218195,0.326439344
0.289815161,0.297549623,0.308786381,0.328614038
0.276011434,0.280955505,0.294807121,0.316258993
0.285561813,0.290043785,0.303309541,0.324090961
0.277954597,0.281928336,0.294799168,0.316299962
0.279444774,0.284111049,0.29603377,0.31791143
0.266093519,0.271639537,0.279416853,0.312560684
0.282427837,0.287661113,0.296372932,0.327848811
0.315282198,0.322259726,0.331673275,0.368728381
0.386857866,0.398984331,0.418152832,0.460787249
0.382872799,0.396884409,0.413750206,0.455477204
0.397428881,0.413211828,0.430554484,0.474058987
0.412559421,0.431660388,0.448191695,0.489582006
0.423698115,0.445011123,0.46049669,0.502003078
0.448583003,0.470431631,0.483382084,0.530920476
0.470418535,0.492346894,0.503512617,0.552593823
0.469086059,0.490282928,0.499474712,0.548819901
0.47885016,0.505600028,0.511758787,0.56086619
0.493604561,0.52538677,0.53042201,0.581410597
0.497726901,0.530559348,0.534939556,0.58471374
0.521205095,0.549882476,0.552907061,0.608668934
0.538808737,0.566853482,0.569341217,0.625692155
0.561898925,0.592108054,0.593440981,0.650644607
0.538407046,0.569361545,0.57073009,0.624306777
0.554374612,0.57890081,0.57881728,0.643617546
0.586895214,0.615249103,0.609440409,0.67905026
0.596747636,0.622674615,0.618638987,0.684854623
0.578774539,0.599313208,0.598474442,0.660924813
0.579518612,0.602820631,0.600329137,0.66084019
0.575756405,0.599635619,0.597953586,0.656865566
0.576087409,0.597975027,0.597857166,0.657630813
0.575992815,0.597399568,0.599244565,0.656651029
0.564303418,0.569568258,0.564082079,0.623642525
0.546609604,0.549054278,0.542847003,0.60270502
0.548735223,0.549040248,0.54344217,0.603808346
0.541945223,0.5403956,0.539409143,0.59979087
0.517957343,0.518061612,0.504774703,0.571993156
0.511784353,0.50946066,0.497927037,0.563973599
0.59478242,0.55690153,0.544646429,0.625138403
0.577621212,0.544663372,0.533711313,0.608715687
0.542677511,0.518430673,0.505204148,0.577592984
0.551268731,0.523040719,0.506242573,0.583332852
0.542202539,0.513077164,0.498058503,0.573339114
0.541406521,0.51229614,0.49753866,0.573398476
0.539804292,0.512089513,0.500216549,0.573454989
0.535247119,0.504392069,0.493799168,0.565131777
0.53636829,0.504494693,0.496065408,0.562899742
0.533423225,0.503294014,0.492032568,0.560971267
0.53342847,0.500537161,0.489812185,0.559717321
0.563373139,0.532496372,0.515994178,0.585905897
