N-500,N-800,N-1000,N-1200
0.824270477,0.818857198,0.817684094,0.814348831
0.822646302,0.817095917,0.815703891,0.812634986
0.822863755,0.816925541,0.815874975,0.812828326
0.82327818,0.816735348,0.8159842,0.812995123
0.82453748,0.8177768,0.816774202,0.814559895
0.826034143,0.819079034,0.818623722,0.816777098
0.827359793,0.819521141,0.819495052,0.818607581
0.826305173,0.818265464,0.818685958,0.81712287
0.826527908,0.818599087,0.819088281,0.818187055
0.827545224,0.819563104,0.820144107,0.8193231
0.826173172,0.8174395,0.818482088,0.817332358
0.823314138,0.814730322,0.815482942,0.814660391
0.821692555,0.813116217,0.813776622,0.813084287
0.822230009,0.81449795,0.814268795,0.814716112
0.823042645,0.815156222,0.815859315,0.816292791
0.824391308,0.815438022,0.816449447,0.816606985
0.82608442,0.81661679,0.817839929,0.818061087
0.822263465,0.813427593,0.81487518,0.814870691
0.820573191,0.812105522,0.813415399,0.813489068
0.818540945,0.81050435,0.811270039,0.81223635
0.818664818,0.810921991,0.811723658,0.813235039
0.820645982,0.812010733,0.812430615,0.813631822
0.831116501,0.824515079,0.823815895,0.826728252
0.830908878,0.823323611,0.823583093,0.826254069
0.828184898,0.82033809,0.82045543,0.823591366
0.827681549,0.81933689,0.8196385,0.822757251
0.826622126,0.818119065,0.818426834,0.821291083
0.825631731,0.817265456,0.817281393,0.820309404
0.834430238,0.827588386,0.825096732,0.827939432
0.831443345,0.824716242,0.822475889,0.825823738
0.832060917,0.825697856,0.822898501,0.826458192
0.83081256,0.823860757,0.821615952,0.824820913
0.846249647,0.835450683,0.83371602,0.836862078
0.843650949,0.8332435,0.831156548,0.834676757
0.849082766,0.839717105,0.837832249,0.841694799
0.866709077,0.852520857,0.850713613,0.852890304
0.864653499,0.849996585,0.848474497,0.849863203
0.863577669,0.848696895,0.846862275,0.847809942
0.862049007,0.846485149,0.844561205,0.845840613
0.858991061,0.843914239,0.841536733,0.842914648
0.860691722,0.845593544,0.841953022,0.843485028
0.857924552,0.843547976,0.840231722,0.841134022
